video_id,lat,lon,address,# restaurant
W3GmSYDWcvk,40.391970,-104.561853,"304 Hill St, Kersey, CO 80644", # Butter My Biscuit
NKap3osw5ww,39.924335,-105.396408,"33492 Coal Creek Canyon Rd, Golden, CO 80403", # Wonder View Cafe
09IwuRMAi_U,39.931540,-105.054284,"1050 E 10th Ave, Broomfield, CO 80020", # Tacos El Comelon
nUgGL7g8IbI,40.420899,-104.722571,"2605 W 11th St Rd, Greeley, CO 80634", # Alberto's
df-amY5mnoE,40.352964,-104.701903,"316 N 2nd St, La Salle, CO 80645", # Jem's Cafe
SqOnqgSsSas,40.350775,-104.702059,"106 2nd Ave, La Salle, CO 80645", # Don Juan
TIRkcJLNtOY,40.163370,-105.088178,"303 Lashley St, Longmont, CO 80504", # Abuelita's
34n0F6DBH04,39.668567,-104.987684,"2651 S Broadway, Denver, CO 80210", # El Tejado
HFds40n8VfQ,40.384008,-105.073463,"804 S Lincoln Ave, Loveland, CO 80537", # Senor Rafael at Mexican Inn
yV70PreAzr4,40.586952,-105.078307,"143 W Mountain Ave, Fort Collins, CO 80524", # Rio Grande Mexican Restaurant
-zEeI8S_ERc,39.753589,-104.984291,"2340 Champa St, Denver, CO 80205", # La Fiesta
cKSAEJUmmSk,40.424444,-105.077661,"3151 N Garfield Ave, Loveland, CO 80538", # Cocina Y Cantina
FpyGLmCRvDs,39.695973,-104.836128,"13200 E Mississippi Ave, Aurora, CO 80012", # Senor Ric's
5I_pNk8RVDE,39.993529,-105.071886,"1407 S 120th St, Lafayette, CO 80026", # Amanecer Food Truck
TaC3INJ0MTo,40.064231,-105.283174,"4929 Broadway, Boulder, CO 80304", # Wapos Cantina
RDcifruEVuc,39.743490,-105.025229,"10339 N Federal Blvd, Denver, CO 80260", # Lucero's
wphQ-38o-xs,39.682144,-105.086270,"7893 W Jewell Ave, Lakewood, CO 80232", # TJ's Sports Bar
QkMCo1op94I,39.765073,-104.994367,"3460 Park Ave W, Denver, CO 80216", # Gomez Burritos
Mx7YNgJGVGA,39.986552,-104.807914,"1150 E Bridge St, Brighton, CO 80601", # Santiagos Mexican Restaurant
BcWRoL5HpbU,39.957538,-105.009085,"3700 W 144th Ave, Westminster, CO 80023", # Limon Y Sal
wImw7AnBJAw,40.001058,-105.020974,"3120 Village Vista Dr, Erie, CO 80516", # Si Senor Mexican Food
CVPGZMQr-XE,39.791139,-104.926276,"5271 E 52nd Ave, Commerce City, CO 80022", # Ted'z Place
GEn-Jg0sfBw,40.079928,-104.817785,"20 S Grand Ave, Fort Lupton, CO 80621", # Carnitas Estilo Michoacan
f7gmGR-pXhk,39.827301,-104.906344,"7035 E 72nd Ave, Commerce City, CO 80022", # La Casa Del Rey
wXFOBNdRuro,39.754493,-104.990217,"2148 Larimer St, Denver, CO 80205", # Chili Shack
7Esp5-7Tdao,39.769717,-105.001457,"1231 W 38th Ave, Denver, CO 80211", # The Original Chubby's Denver
FiuZs7W7WJ8,39.987991,-105.136216,"585 E South Boulder Rd, Louisville, CO 80027", # Mudrocks Tap & Tavern
Yxg74Rd6cmU,39.961739,-105.163331,"592 McCaslin Blvd, Louisville, CO 80027", # Old Santa Fe
UE6GWFgqLOc,40.407473,-104.776119,"1923 59th Ave, Greeley, CO 80634", # Big City Roadhouse
lsKuhs4biNE,40.153438,-105.104918,"700 Ken Pratt Blvd, Longmont, CO 80501", # Chile con Quesadilla
uXx_bxhvXbU,40.420806,-104.714752,"711 O St, Greeley, CO 80631", # Rigo's Mexican Restaurant
